"BenSampID","StationID","CollDate","StreamName","Basin","Subecoregion","CollMeth","Location","Sample Season","RepNum","FamTotTaxa","FamEPTTax","%Ephem","%PT - Hydropsychidae","Fam%Scrap","%Chiro","Fam%2Dom","FamHBI","%Ephem Score","%PT-H Score","%Chironomidae Score","Fam Richness Score","Fam EPT Score","Fam %Scraper Score","Fam %2Dom Score","Fam %MFBI Score","Fam SCI","Season","Year","Target_Count","method","limit","EcoregionCode","TotTaxa","HBI","EPTTax","%5Dom","%ClngP-HS","Richness Score","RichnessFinal","HBIScore","HBIFinal","EPT Score","EPTFinal","EPHEM","PT-H","Pct5DOM","PctClng-HS","CPMI63+CHOWAN","%Scrap","%Intoler","PctScrap","PctIntol","CPMI65-CHOWAN","ID","IRYear","CollectorID","Region","EcoRegion","County","AssessmentMethod","Reviewer","SeasonalDifferences","SummaryAssessment","FactorsWatershed","RecentChange","FinalAssessmentRating"
"cnm8845R110","2-CNM000.09",2016-10-17,"Middle Fork Cunningham Creek","James","Northern Inner Piedmont (45e)","Riffle","u.s. conf. w/ S. F. Cunningham","Fall 2016",1,14,6,14.55,1.8,61.82,1.82,72.73,4.64,23.73,5.11,98.18,63.64,54.55,100,39.41,78.88,57.94,"Fall",2016,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cnm9750R110","2-CNM000.09",2017-04-17,"Middle Fork Cunningham Creek","James","Northern Inner Piedmont (45e)","Riffle","u.s. conf. w/ S. F. Cunningham","Spring 2017",1,11,5,14.55,10,36.36,25.45,61.82,4.53,23.73,28.09,74.55,50,45.45,70.47,55.18,80.48,53.49,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cnm10388R110","2-CNM000.09",2017-10-04,"Middle Fork Cunningham Creek","James","Northern Inner Piedmont (45e)","Riffle","u.s. conf. w/ S. F. Cunningham","Fall 2017",1,14,7,9.09,5.5,67.27,14.55,76.36,4.08,14.83,15.32,85.45,63.64,63.64,100,34.16,87.03,58.01,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hol9914R110","2-HOL003.15",2017-04-11,"Holiday Creek","James River","Northern Inner Piedmont (45e)","Riffle","UPSTR OF RT 614","Spring 2017",1,17,12,42.73,9.1,24.55,29.09,52.73,4.71,69.7,25.54,70.91,77.27,100,47.57,68.31,77.81,67.14,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hol10124R110","2-HOL003.15",2017-04-11,"Holiday Creek","James River","Northern Inner Piedmont (45e)","Riffle","UPSTR OF RT 614","Spring 2017",2,17,12,40,16.4,26.36,33.64,57.27,4.39,65.25,45.97,66.36,77.27,100,51.09,61.74,82.49,68.77,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hol10632R110","2-HOL003.15",2017-10-24,"Holiday Creek","James River","Northern Inner Piedmont (45e)","Riffle","UPSTR OF RT 614","Fall 2017",1,17,12,48.18,23.6,34.55,9.09,43.64,3.58,78.6,66.39,90.91,77.27,100,66.95,81.45,94.39,82,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOL10837R110","2-HOL003.15",2018-04-11,"Holiday Creek","James River","Northern Inner Piedmont (45e)","Riffle","UPSTR OF RT 614","Spring 2018",1,18,10,52.73,12.7,32.73,23.64,52.73,4.21,86.02,35.75,76.36,81.82,90.91,63.42,68.31,85.16,73.47,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOL10819R110","2-HOL003.15",2018-04-11,"Holiday Creek","James River","Northern Inner Piedmont (45e)","Riffle","UPSTR OF RT 614","Spring 2018",2,15,7,47.27,8.2,36.36,32.73,66.36,4.43,77.12,22.98,67.27,68.18,63.64,70.47,48.61,81.95,62.53,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hol11359R110","2-HOL003.15",2018-10-24,"Holiday Creek","James River","Northern Inner Piedmont (45e)","Riffle","UPSTR OF RT 614","Fall 2018",1,16,10,43.64,10,33.64,14.55,47.27,4.25,71.18,28.09,85.45,72.73,90.91,65.19,76.2,84.49,71.78,"Fall",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nhc9956R110","2-NHC001.00",2017-04-11,"N Holiday Cr","James","Northern Inner Piedmont (45e)","Riffle","Old Richmond Rd","Spring 2017",1,19,10,30,10.9,20.91,38.18,53.64,4.45,48.94,30.64,61.82,86.36,90.91,40.52,67,81.68,63.48,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nhc10633R110","2-NHC001.00",2017-10-30,"N Holiday Cr","James","Northern Inner Piedmont (45e)","Riffle","Old Richmond Rd","Fall 2017",1,17,9,29.09,18.2,35.45,13.64,34.55,3.76,47.46,51.07,86.36,77.27,81.82,68.71,94.59,91.71,74.87,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NHC10835R110","2-NHC001.00",2018-04-11,"N Holiday Cr","James","Northern Inner Piedmont (45e)","Riffle","Old Richmond Rd","Spring 2018",1,13,8,23.64,11.8,7.27,56.36,70,4.76,38.56,33.2,43.64,59.09,72.73,14.09,43.35,77.01,47.71,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"slt9561R110","2-SLT014.52",2017-06-13,"Slate River","James River","Northern Inner Piedmont (45e)","Riffle","RT 622","Spring 2017",1,18,9,30.91,5.5,38.18,8.18,35.45,4.55,50.42,15.32,91.82,81.82,81.82,74,93.27,80.08,71.07,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"slt10510R110","2-SLT014.52",2017-11-14,"Slate River","James River","Northern Inner Piedmont (45e)","Riffle","RT 622","Fall 2017",1,16,10,31.82,33.6,40,6.36,30.91,3.47,51.91,94.48,93.64,72.73,90.91,77.52,99.84,95.99,84.63,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THK11368R110","2-THK000.03",2018-11-01,"Tomahawk Creek","James River","Northern Inner Piedmont (45e)","Riffle","Off rhonda rd near conf-burton","Fall 2018",1,13,6,26.36,10,23.64,17.27,40,5.11,43.01,28.09,82.73,59.09,54.55,45.81,86.71,71.93,58.99,"Fall",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tqc9948R110","2-TQC001.99",2017-03-21,"Tonguequarter Creek","James","Northern Inner Piedmont (45e)","Riffle","DS of Broken Bridge RD","Spring 2017",1,15,9,61.82,4.5,12.73,14.55,67.27,4.42,100,12.77,85.45,68.18,81.82,24.67,47.29,82.09,62.78,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tqc10123R110","2-TQC001.99",2017-03-21,"Tonguequarter Creek","James","Northern Inner Piedmont (45e)","Riffle","DS of Broken Bridge RD","Spring 2017",2,14,7,63.64,5.5,17.27,18.18,65.45,4.35,100,15.32,81.82,63.64,63.64,33.47,49.92,83.16,61.37,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tqc10126R110","2-TQC001.99",2017-12-07,"Tonguequarter Creek","James","Northern Inner Piedmont (45e)","Riffle","DS of Broken Bridge RD","Fall 2017",1,14,10,40,32.7,36.36,16.36,50,3.88,65.25,91.93,83.64,63.64,90.91,70.47,72.25,89.97,78.51,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALC9673R110","3-ALC002.74",2017-04-17,"Alcotti Run","Rappahannock","Northern Inner Piedmont (45e)","Riffle","Rt. 614 (Spotted Tavern Rd.)","Spring 2017",1,18,11,16.36,46.4,8.18,26.36,41.82,3.82,26.69,100,73.64,81.82,100,15.86,84.08,90.91,71.62,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALC9841R110","3-ALC002.74",2017-04-17,"Alcotti Run","Rappahannock","Northern Inner Piedmont (45e)","Riffle","Rt. 614 (Spotted Tavern Rd.)","Spring 2017",2,16,9,18.18,56.4,10.91,17.27,43.64,3.5,29.66,100,82.73,72.73,81.82,21.14,81.45,95.59,70.64,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALC10204R110","3-ALC002.74",2017-11-07,"Alcotti Run","Rappahannock","Northern Inner Piedmont (45e)","Riffle","Rt. 614 (Spotted Tavern Rd.)","Fall 2017",1,18,10,47.27,23.6,46.36,7.27,47.27,3.96,77.12,66.39,92.73,81.82,90.91,89.85,76.2,88.77,82.97,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTN11075R110","3-MTN000.59",2018-03-07,"Mountain Run","Rappahannock River","Northern Inner Piedmont (45e)","Riffle","Rt. 620","Spring 2018",1,14,6,4.55,3.6,23.64,10,55.45,5.37,7.42,10.21,90,63.64,54.55,45.81,64.37,68.05,50.5,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTN11644R110","3-MTN000.59",2018-12-10,"Mountain Run","Rappahannock River","Northern Inner Piedmont (45e)","Riffle","Rt. 620","Fall 2018",1,15,8,16.36,21.8,28.18,7.27,34.55,4.58,26.69,61.29,92.73,68.18,72.73,54.62,94.59,79.68,68.81,"Fall",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTN11646R110","3-MTN000.59",2018-12-10,"Mountain Run","Rappahannock River","Northern Inner Piedmont (45e)","Riffle","Rt. 620","Fall 2018",2,11,5,19.09,28.2,33.64,4.55,47.27,4.17,31.14,79.16,95.45,50,45.45,65.19,76.2,85.7,66.04,"Fall",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUL9867R110","3-RUL000.39",2017-03-06,"Russell Run","Potomac","Northern Inner Piedmont (45e)","Riffle","Rt. 603 (Indiantown Rd.)","Spring 2017",1,17,8,25.45,31.8,10,19.09,40,4.31,41.52,89.38,80.91,77.27,72.73,19.38,86.71,83.69,68.95,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUS10485R110","3-RUL000.39",2017-09-19,"Russell Run","Potomac","Northern Inner Piedmont (45e)","Riffle","Rt. 603 (Indiantown Rd.)","Fall 2017",1,12,7,22.73,31.8,29.09,7.27,49.09,4.24,37.08,89.38,92.73,54.55,63.64,56.38,73.57,84.76,69.01,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAC10845R110","4ABAC002.57",2018-05-03,"Back Creek","Roanoke","Northern Inner Piedmont (45e)","Riffle","Back Creek @ Rte 628 Bishop Creek Road","Spring 2018",1,15,8,20,14.5,20.91,43.64,50.91,4.5,32.63,40.86,56.36,68.18,72.73,40.52,70.94,80.88,57.89,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAC11021R110","4ABAC002.57",2018-05-03,"Back Creek","Roanoke","Northern Inner Piedmont (45e)","Riffle","Back Creek @ Rte 628 Bishop Creek Road","Spring 2018",1,14,7,16.36,10.9,29.09,43.64,53.64,4.71,26.69,30.64,56.36,63.64,63.64,56.38,67,77.81,55.27,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAC11606R110","4ABAC002.57",2018-10-24,"Back Creek","Roanoke","Northern Inner Piedmont (45e)","Riffle","Back Creek @ Rte 628 Bishop Creek Road","Fall 2018",2,17,8,27.27,16.4,36.36,16.36,34.55,4.3,44.49,45.97,83.64,77.27,72.73,70.47,94.59,83.82,71.62,"Fall",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAU5034R110","4abau000.25",2013-05-30,"Beaver Creek","Roanoke","Northern Inner Piedmont (45e)","Riffle","Off Koehler Rd","Spring 2013",1,8,3,5.45,1.8,8.18,40.91,78.18,5.61,8.9,5.11,59.09,36.36,27.27,15.86,31.53,64.57,31.09,"Spring",2013,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAU5202R110","4abau000.25",2013-10-23,"Beaver Creek","Roanoke","Northern Inner Piedmont (45e)","Riffle","Off Koehler Rd","Fall 2013",1,8,3,27.27,0,11.82,11.82,50,5.63,44.49,0,88.18,36.36,27.27,22.9,72.25,64.3,44.47,"Fall",2013,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAU6658R110","4abau000.25",2014-05-20,"Beaver Creek","Roanoke","Northern Inner Piedmont (45e)","Riffle","Off Koehler Rd","Spring 2014",1,10,2,8.18,0,1.82,43.64,72.73,6.29,13.35,0,56.36,45.45,18.18,3.52,39.41,54.55,28.85,"Spring",2014,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAU6847R110","4abau000.25",2014-11-04,"Beaver Creek","Roanoke","Northern Inner Piedmont (45e)","Riffle","Off Koehler Rd","Fall 2014",1,15,3,3.64,0,7.27,10.91,50.91,6.63,5.93,0,89.09,68.18,27.27,14.09,70.94,49.6,40.64,"Fall",2014,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BCE11295R110","4ABCE001.32",2018-06-05,"Buck Run","Roanoke","Northern Inner Piedmont (45e)","Riffle",NA,"Spring 2018",1,13,5,21.82,1.8,1.82,53.64,74.55,5.47,35.59,5.11,46.36,59.09,45.45,3.52,36.78,66.58,37.31,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BDA10305R110","4ABDA004.14",2017-05-18,"Beaverdam Creek","Roanoke","Northern Inner Piedmont (45e)","Riffle"," Rt. 757 Bridge","Spring 2017",1,13,9,21.82,3.6,1.82,10,65.45,5.34,35.59,10.21,90,59.09,81.82,3.52,49.92,68.54,49.84,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BDA10188R110","4ABDA004.14",2017-10-26,"Beaverdam Creek","Roanoke","Northern Inner Piedmont (45e)","Riffle"," Rt. 757 Bridge","Fall 2017",1,15,8,24.55,6.4,25.45,12.73,62.73,5.19,40.04,17.88,87.27,68.18,72.73,49.33,53.86,70.7,57.5,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BDA11290R110","4ABDA004.14",2018-05-08,"Beaverdam Creek","Roanoke","Northern Inner Piedmont (45e)","Riffle"," Rt. 757 Bridge","Spring 2018",1,12,8,29.09,5.5,7.27,37.27,55.45,5.15,47.46,15.32,62.73,54.55,72.73,14.09,64.37,71.39,50.33,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BDA11695R110","4ABDA004.14",2018-10-23,"Beaverdam Creek","Roanoke","Northern Inner Piedmont (45e)","Riffle"," Rt. 757 Bridge","Fall 2018",1,15,11,15.45,19.1,11.82,18.18,52.73,4.75,25.21,53.63,81.82,68.18,100,22.9,68.31,77.21,62.16,"Fall",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNRR110","4ABNR001.53",2018-04-06,"N. F. Blackwater River","Roanoke River","Northern Inner Piedmont (45e)","Riffle","Rt. 738 Br. (Below Barnhardt Dairy)","Spring 2018",1,16,9,20.91,3.6,30.91,29.09,46.36,4.81,34.11,10.21,70.91,72.73,81.82,59.9,77.51,76.34,60.44,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOR10303R110","4ABOR031.30",2017-05-18,"Big Otter River","Roanoke","Northern Inner Piedmont (45e)","Riffle","Off Screechum Hollow Rd.","Spring 2017",1,20,10,12.73,12.7,31.82,3.64,47.27,4.53,20.76,35.75,96.36,90.91,90.91,61.66,76.2,80.48,69.13,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOR10671R110","4ABOR031.30",2017-08-30,"Big Otter River","Roanoke","Northern Inner Piedmont (45e)","Riffle","Off Screechum Hollow Rd.","Fall 2017",1,17,9,20,6.4,23.64,3.64,49.09,4.84,32.63,17.88,96.36,77.27,81.82,45.81,73.57,75.94,62.66,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BWR10527R110","4ABWR028.90",2017-11-08,"Blackwater River","Roanoke","Northern Inner Piedmont (45e)","Riffle","Below Maple Branch nr Redwood","Fall 2017",1,18,12,15.45,12.7,20.91,22.73,59.09,5,25.21,35.75,77.27,81.82,100,40.52,59.12,73.53,61.65,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BWR10796R110","4ABWR028.90",2018-03-16,"Blackwater River","Roanoke","Northern Inner Piedmont (45e)","Riffle","Below Maple Branch nr Redwood","Spring 2018",1,15,8,30.91,8.2,17.27,13.64,45.45,4.55,50.42,22.98,86.36,68.18,72.73,33.47,78.82,80.08,61.63,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BWR10528R110","4ABWR029.22",2017-11-08,"Blackwater River","Roanoke","Northern Inner Piedmont (45e)","Riffle","Above Maple Branch nr Redwood","Fall 2017",1,23,13,25.45,21.8,30,11.82,32.73,4.55,41.52,61.29,88.18,100,100,58.14,97.21,80.21,78.32,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BWR10797R110","4ABWR029.22",2018-03-16,"Blackwater River","Roanoke","Northern Inner Piedmont (45e)","Riffle","Above Maple Branch nr Redwood","Spring 2018",1,17,11,28.18,12.7,22.73,30.91,51.82,4.83,45.97,35.75,69.09,77.27,100,44.05,69.63,75.98,64.72,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BWR10801R110","4ABWR061.20",2018-04-06,"Blackwater River","Roanoke River","Northern Inner Piedmont (45e)","Riffle","Rt. 641 Bridge","Spring 2018",1,14,5,20.91,0,17.27,42.73,57.27,5.28,34.11,0,57.27,63.64,45.45,33.47,61.74,69.39,45.63,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAS9994R110","4ACAS004.33",2017-06-05,"Cascade Creek","Roanoke","Northern Inner Piedmont (45e)","Riffle","Cascade Ck @ Unicorn Dr Rte 855","Spring 2017",1,14,7,13.64,9.1,10.91,30.91,50.91,5.32,22.25,25.54,69.09,63.64,63.64,21.14,70.94,68.85,50.63,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAS10653R110","4ACAS004.33",2017-11-08,"Cascade Creek","Roanoke","Northern Inner Piedmont (45e)","Riffle","Cascade Ck @ Unicorn Dr Rte 855","Fall 2017",1,14,6,14.55,7.3,18.18,32.73,56.36,5.64,23.73,20.43,67.27,63.64,54.55,35.24,63.06,64.17,49.01,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAS9995R110","4acas006.64",2017-06-05,"Cascade Creek","Roanoke","Northern Inner Piedmont (45e)","Riffle","Cascade Ck @ Cascade Mill Rd Rte 855","Spring 2017",1,19,8,10.91,17.3,14.55,28.18,50.91,4.53,17.8,48.52,71.82,86.36,72.73,28.19,70.94,80.48,59.6,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAS10654R110","4acas006.64",2017-11-08,"Cascade Creek","Roanoke","Northern Inner Piedmont (45e)","Riffle","Cascade Ck @ Cascade Mill Rd Rte 855","Fall 2017",1,13,6,21.82,5.5,22.73,30.91,60,5.24,35.59,15.32,69.09,59.09,54.55,44.05,57.8,70.05,50.69,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
